room,x,y
APM 2301,0.18234,0.58866
CENTR 101,0.31299,0.65686
CENTR 105,0.30940,0.64824
CENTR 109,0.30940,0.64393
CENTR 113,0.30869,0.64178
CENTR 115,0.30940,0.63891
CENTR 119,0.30940,0.63604
CENTR 214,0.32089,0.62886
CENTR 216,0.31730,0.62886
CENTR 222,0.31443,0.62958
CSB 001,0.23833,0.52907
CSB 002,0.24264,0.52477
CSB 005,0.25197,0.52979
HSS 1330,0.16009,0.61522
LEDDN AUD,0.16080,0.59871
MANDE B-210,0.21249,0.64609
PCYNH 106,0.42857,0.61881
PCYNH 109,0.43001,0.62383
PCYNH 121,0.42067,0.62455
PCYNH 122,0.42139,0.62383
PETER 102,0.21464,0.54774
PETER 103,0.21536,0.55276
PETER 104,0.20890,0.55348
PETER 110,0.20603,0.54917
RBC AUD,0.18952,0.37760
SEQUO 147,0.17803,0.46805
SEQUO 148,0.17803,0.46000
SEQUO 244,0.17732,0.47308
SOLIS 104,0.22685,0.51184
SOLIS 107,0.22757,0.51543
TM102 1,0.24264,0.49605
WLH 2001,0.40632,0.51687
WLH 2005,0.40704,0.52836
WLH 2114,0.41565,0.52333
WLH 2204,0.41278,0.53051
